 24-HOUR MAN;EMMANUEL;;;;
 3-D MAN;CHARLES CHANDLER & HAROLD CHANDLER;;;;
 4-D MAN;MERCURIO;;;;
 8-BALL;;;;;
 A;;;;;
 A'YIN;;;;;
 ABBOTT; JACK;;;;
 ABCISSA;;;;;
 ABEL;;;;;
 ABOMINATION;EMIL BLONSKY;;;;
 ABOMINATION ; MUTANT X-VERSE;;;;
 ABOMINATRIX;;;;;
 ABRAXAS;;;;;
 ADAM 3;31;;;;
 ABSALOM;;;;;
 ABSORBING MAN;CARL CRUSHER CREEL;;;;
 ABSORBING MAN ; MUTANT X-VERSE;;;;
 ACBA;;;;;
 ACHEBE; REVEREND DOCTOR MICHAEL IBN AL-HAJJ;;;;
 ACHILLES;;;;;
 ACHILLES II;HELMUT;;;;
 ACROBAT;CARL ZANTE;;;;
 ADAM X;;;;;
 ADAMS; CINDY;;;;
 ADAMS; CONGRESSMAN HENRY;;;;
 ADAMS; GEORGE;;;;
 ADAMS; MARTHA;;;;
 ADAMS; NICOLE NIKKI;;;;
 ADAMSON; JASON;;;;
 ADAMSON; REBECCA;;;;
 ADMIRAL PROTOCOL;;;;;
 ADORA;;;;;
 ADORA CLONE;;;;;
 ADRIA;;;;;
 ADVA;;;;;
 ADVENT;KYLE GROBE;;;;
 ADVERSARY;;;;;
 AEGIS;TREY ROLLINS;;;;
 AENTAROS;;;;;
 AFTERLIFE;;;;;
 AGAMEMNON;;;;;
 AGAMEMNON II;ANDREI ROSTOV;;;;
 AGAMEMNON III;;;;;
 AGAMOTTO;;;;;
 AGARN; CAPT.;;;;
 AGED GENGHIS;;;;;
 AGEE; DR. AUBREY;;;;
 AGEE; REBECCA;;;;
 AGENT AXIS;;;;;
 AGENT 18;JACK TRUMAN;;;;
 AGENT-X;;;;;
 AGGAMON;;;;;
 AGINAR;;;;;
 AGON;;;;;
 AGONY;;;;;
 AGUIRRE; ISOBEL;;;;
 AHAB;RORY CAMPBELL;;;;
 AHQLAU;;;;;
 AHURA;;;;;
 AI-CHIA;;;;;
 AINET;;;;;
 AIR WALKER;ARLO SAMUELSON;;;;
 AIR-WALKER;GABRIEL LAN;;;;
 AIRBORNE;;;;;
 AIREO;AEOLUS [INHUMAN];;;;
 AJAK;TECUMOTZIN [ETERNAL];;;;
 AJAX;;;;;
 AJAX II;;;;;
 AJES'HA;;;;;
 AKAFE;;;;;
 AKULIA;;;;;
 AKUTAGAWA; OSAMU;;;;
 AL-KHALAD;;;;;
 ALANYA;;;;;
 ALBERIK;;;;;
 ALBERT;;;;;
 ALBINO;DR. AUGUSTA SEGER;;;;
 ALBUQUERQUE; JEREMIAH;;;;
 ALCHEMY;THOMAS JONES;;;;
 ALDEN; PROF. MEREDITH MCCALL;;;;
 ALEGRIA; RICHIE;;;;
 ALEXANDER; CALEB;;;;
 ALEXANDER; CARRIE;;;;
 ALFY;;;;;
 ALIOTH;;;;;
 ALIST;;;;;
 ALISTRO;;;;;
 ALLEN; TERRY;;;;
 ALOUETTE; GENARD;;;;
 ALPHA;;;;;
 ALRAUNE; MARLENE;;;;
 ALVAREZ; CARLY;;;;
 ALVAREZ; PAUL;;;;
 ALVAREZ; FELIX;;;;
 AMAZO-MAXI-WOMAN;;;;;
 AMAZON;;;;;
 AMENHOTEP;;;;;
 AMERICAN EAGLE II;JAMES DORE;;;;
 AMERICAN EAGLE III;JASON STRONGBOW;;;;
 AMERICAN SAMURAI;;;;;
 AMERICOP;;;;;
 AMIKO;;;;;
 AMINEDI;;;;;
 AMPERE;;;;;
 AMPHARON;;;;;
 AMPHIBIAN;KINGLEY RICE;;;;
 AMPHIBIUS;;;;;
 ANACONDA;BLANCHE SITZNSKI;;;;
 ANAIS;;;;;
 ANAK;;;;;
 ANALYZER;;;;;
 ANAMI; HIROSHI;;;;
 ANANASTASIA;ANNA;;;;
 ANARCHIST;TIKE ALICAR;;;;
 ANCESTOR;;;;;
 ANCIENT ONE;;;;;
 ANCIENT ONE;BARON MORDO ; MUTANT X-VERSE;;;
 ANDERS; JOSHUA RICHIE;;;;
 ANDERSON; BAXTER;;;;
 ANDERSON; CHARLES;;;;
 ANDERSON; CHET;;;;
 ANDERSON; CHIEF MAGISTRATE TAM;;;;
 ANDERSON; GINA;;;;
 ANDERSON; MARJORIE;;;;
 ANDERSON; NICKY;;;;
 ANDERSSEN; TANYA;;;;
 ANDREWS; DARYL TROOP;;;;
 ANDROMEDA;ANDROMEDA ATTUMASEN [ATLANTEAN];;;;
 ANDROS;;;;;
 ANDWELLA;;;;;
 ANELLE;;;;;
 ANGAR THE SCREAMER;DAVID ANGAR;;;;
 ANGEL;WARREN KENNETH WORTHINGTON III ;;;;
 ANGEL 2013;;;;;
 ANGEL II;THOMAS HALLOWAY;;;;
 ANGEL III;HALLOWAY;;;;
 ANGEL IV;;;;;
 ANGEL DOPPELGANGER;;;;;
 ANGELOPOULOS; ANGEL III;;;;
 ANGKOR;;;;;
 ANGLER;;;;;
 ANGSTROM; EARL;;;;
 ANIELLE;;;;;
 ANIMATOR;DR. FREDRICK ANIMUS;;;;
 ANIMATOR II;;;;;
 ANIMUS;;;;;
 ANNALEE;;;;;
 ANNIHILUS;;;;;
 ANOMALY;;;;;
 ANOMALY III;;;;;
 ANON; LORD;;;;
 ANSWER;;;;;
 ANSWER II;DAVID FERRARI;;;;
 ANT-MAN;DR. HENRY J. PYM;;;;
 ANT-MAN II;SCOTT HARRIS LANG;;;;
 ANTEUS;;;;;
 ANTHROMORPHO;;;;;
 ANTI-PHOENIX;;;;;
 ANTI-VISION;;;;;
 ANTIBODY;;;;;
 ANTIQUARY;;;;;
 ANTOINETTE; MARIE;;;;
 ANTORO;;;;;
 ANTRO;;;;;
 ANUBAR; ANWAR;;;;
 ANUBIA;;;;;
 ANVIL;JOHNNY ANVIL;;;;
 APE;;;;;
 APE MAN;GORDON MONK KEEFER;;;;
 APE MAN II;ROY MCVEY;;;;
 APE-X;XINA;;;;
 APOCALYPSE;EN SABAH NUR;;;;
 APOCALYPSE ; MUTANT X-VERSE;;;;
 APOCRYPHUS;;;;;
 APOLLO [GREEK GOD];;;;;
 APOSTATE;;;;;
 APPALLA;;;;;
 APPLEBAUM; PHANTASY;;;;
 AQUARIAN;WUNDARR;;;;
 AQUARIUS;DARREN BENTLEY;;;;
 AQUARIUS II;;;;;
 AQUARIUS III;;;;;
 ARABIAN KNIGHT;ABDUL QAMAR;;;;
 ARACHNE;;;;;
 ARAGORN;;;;;
 ARAKI [SHI'AR];;;;;
 ARAKI II;;;;;
 ARBOGAST; BAMBI;;;;
 ARCADE;;;;;
 ARCADIUS;;;;;
 ARCANNA;ARCANNA JONES;;;;
 ARCHAEOPTERYX;TONAJA [INHUMAN];;;;
 ARCHER;JUDE BLACK;;;;
